latitude;longitude;start_time(YYYYMMddHHmmZ);duration(ms)
-50.33427;-72.25475;201312291125-0300;161360
-50.29999;-72.06545;201312291143-0300;3232421
-50.28412;-72.05306;201312291251-0300;14357565
-54.839325;-68.31266;201312291834-0300;5852025
-54.809326;-68.31953;201312292139-0300;52135344
-54.807568;-68.30356;201312301231-0300;805832
-54.803646;-68.29811;201312301313-0300;2314938
-54.80328;-68.29748;201312301401-0300;4697608
-54.80726;-68.304;201312301537-0300;728956
-54.809258;-68.31934;201312301600-0300;7514266
-54.808372;-68.30105;201312301816-0300;573119
-54.808056;-68.30088;201312301836-0300;388740
-54.836277;-68.25137;201312301901-0300;66404
-54.855263;-68.21923;201312301922-0300;626783
-54.866844;-68.250916;201312301949-0300;422426
-54.809364;-68.31312;201312302159-0300;953520
-54.809452;-68.31964;201312302221-0300;1992233
-54.805202;-68.30018;201312302316-0300;4629743
-54.806374;-68.30517;201312310039-0300;50989
-54.80928;-68.30514;201312310046-0300;84200
-54.809406;-68.31961;201312310102-0300;1503165
-54.80892;-68.316315;201312310133-0300;1463744
-54.809395;-68.319565;201312310202-0300;59988
-54.808933;-68.31632;201312310208-0300;2854179
-54.808926;-68.31632;201312310302-0300;3894414
-54.808937;-68.316315;201312310412-0300;3708536
-54.80892;-68.316284;201312310519-0300;4202262
-54.80893;-68.316315;201312310635-0300;10655827
-54.808937;-68.31634;201312310939-0300;2262011
-54.80976;-68.318665;201312311020-0300;134474
-54.80941;-68.31961;201312311027-0300;2051575
-54.80653;-68.304504;201312311110-0300;311297
-54.83322;-68.42344;201312311201-0300;1685968
-54.82002;-68.469864;201312311251-0300;419993
-54.846916;-68.48087;201312311339-0300;712881
-54.837444;-68.56216;201312311454-0300;1129900
-54.85506;-68.5778;201312311558-0300;198780
-54.806866;-68.30613;201312311741-0300;2576407
-54.80885;-68.31455;201312311914-0300;963759
-54.8094;-68.319626;201312311938-0300;1279350
-54.80894;-68.31633;201312312003-0300;379069
-54.8094;-68.319595;201312312016-0300;120229
-54.809402;-68.31959;201312312022-0300;2821734
-54.809414;-68.31957;201312312113-0300;30599
-54.808914;-68.31632;201312312126-0300;591093
-54.80945;-68.319664;201312312144-0300;2597170
-54.81142;-68.31612;201312312236-0300;486920
-54.81541;-68.31061;201312312250-0300;395055
-54.8099;-68.31813;201312312309-0300;67243
-54.808933;-68.31632;201312312315-0300;142251
-54.809147;-68.31913;201312312332-0300;4098878
-54.80952;-68.31954;201401010047-0300;276914
-54.8134;-68.31205;201401010110-0300;366423
-54.81229;-68.315094;201401010122-0300;372620
-54.80944;-68.31948;201401010137-0300;9869332
-54.8093;-68.31956;201401010427-0300;19122565
-54.809975;-68.31845;201401010952-0300;453778
-54.80946;-68.31954;201401011004-0300;430
-54.80895;-68.316345;201401011011-0300;86660
-54.809414;-68.319626;201401011025-0300;1479663
-54.809807;-68.31828;201401011055-0300;62784
-34.55675;-58.414185;201401011633-0300;384904
-34.556717;-58.414196;201401011644-0300;9530689
-34.559135;-58.411255;201401011938-0300;417283
-25.624971;-54.55071;201401012208-0300;46441985
-25.604162;-54.563427;201401021109-0300;754437
-25.599882;-54.561882;201401021146-0300;626721
-25.68482;-54.439617;201401021319-0300;397653
-25.685604;-54.439777;201401021335-0300;594344
-25.688473;-54.43916;201401021355-0300;601862
-25.690664;-54.43764;201401021421-0300;190430
-25.690966;-54.437206;201401021440-0300;1769013
-25.578411;-54.557243;201401021607-0300;208918
-25.624615;-54.55046;201401021642-0300;5135943
-25.624266;-54.55081;201401021814-0300;60206769
-25.695513;-54.437622;201401031243-0300;1437976
-25.68459;-54.4426;201401031429-0300;311789
-25.682356;-54.44705;201401031731-0300;908433
-25.685614;-54.446224;201401031756-0300;211369
-25.687525;-54.445366;201401031821-0300;212817
-25.682013;-54.446674;201401031844-0300;637090
-25.624577;-54.55054;201401031916-0300;12065942
-25.624489;-54.550587;201401032245-0300;3785822
-25.623926;-54.550484;201401032355-0300;41037629
-25.624468;-54.55013;201401041125-0300;9502777
-25.624334;-54.550842;201401041410-0300;8396752
-34.60897;-58.371613;201401042242-0300;697716
-34.608917;-58.378525;201401050127-0300;4596109
-34.60891;-58.378475;201401050248-0300;31120626
-34.608295;-58.37861;201401051130-0300;659414
-34.608276;-58.378616;201401051145-0300;652046
-34.608917;-58.37854;201401051201-0300;4313980
-34.812263;-58.539413;201401051356-0300;64697876
51.182976;4.3809257;201401061202-0300;190593
51.173424;4.3510313;201401061214-0300;571020
51.171577;4.34692;201401061228-0300;7011985
51.13501;4.5571623;201401061437-0300;459735
51.17162;4.499621;201401061501-0300;299018
51.171604;4.346944;201401061535-0300;3952201
51.176575;4.350219;201401061717-0300;378178
51.171577;4.34692;201401061732-0300;58713996
51.17158;4.346933;201401071043+0100;5344499
51.169735;4.363391;201401071221+0100;2088441
51.170826;4.3654933;201401071302+0100;251323
51.171593;4.346888;201401071315+0100;13466057
51.174526;4.3487115;201401071709+0100;2992952
51.17148;4.3470054;201401071808+0100;82343763
51.17478;4.3508267;201401081709+0100;728417
51.174778;4.3508396;201401081727+0100;374835
51.174183;4.351277;201401081739+0100;343480
51.171547;4.346968;201401081754+0100;48187584
51.213406;4.391169;201401090737+0100;30647
51.17157;4.346932;201401091752+0100;232040
51.171574;4.3469195;201401091817+0100;45352375
51.216354;4.394118;201401100704+0100;33105579
51.171555;4.346929;201401101644+0100;57096673
51.173508;4.3508425;201401110842+0100;160179
51.219227;2.9074838;201401111028+0100;5243402
50.929047;3.0117679;201401111249+0100;9603743
50.93267;3.013375;201401111539+0100;3334140
50.929142;3.011787;201401111649+0100;6112181
51.17157;4.346913;201401111941+0100;47428716
51.17467;4.3509474;201401120859+0100;643491
51.171574;4.3469133;201401120918+0100;8987208
51.24471;4.417887;201401121211+0100;406364
51.245987;4.4160047;201401121224+0100;11563865
51.17356;4.3479385;201401121602+0100;1732996
51.171684;4.34692;201401121637+0100;42296594
51.171516;4.346759;201401130441+0100;1682947
51.172066;4.3472657;201401130517+0100;3579206
51.171455;4.3467226;201401130624+0100;1718963
51.20429;4.376309;201401130707+0100;180856
51.2163;4.394278;201401130718+0100;100448402
51.21629;4.394119;201401141115+0100;13015908
51.216293;4.394106;201401141457+0100;4883265
51.17164;4.347005;201401141648+0100;339756
51.173695;4.3470755;201401141700+0100;102042
51.17162;4.3469996;201401141713+0100;48736886
51.2163;4.3940883;201401150715+0100;13182805
51.212826;4.3928566;201401151103+0100;329126
51.216316;4.3941183;201401151115+0100;19534662
51.17164;4.347004;201401151702+0100;51225931
51.21633;4.3941045;201401160722+0100;31330124
51.171642;4.3470173;201401161622+0100;195441
51.170906;4.3532963;201401161636+0100;139320
51.171627;4.346999;201401161647+0100;51216795
51.2163;4.3941045;201401170722+0100;27052010
51.171635;4.346963;201401171533+0100;2436041
51.173084;4.365129;201401171619+0100;167493
51.1716;4.347042;201401171628+0100;75560327
51.066494;4.407941;201401181402+0100;106529
51.17154;4.347163;201401181641+0100;36601125
51.171597;4.347049;201401190950+0100;406954
51.04149;5.1848826;201401191047+0100;645168
51.049267;5.1888313;201401191105+0100;4238822
51.168957;4.3626547;201401191602+0100;249684
51.171547;4.3469114;201401191612+0100;12214436
51.171333;4.346688;201401200653+0100;2755432
51.180916;4.3450294;201401200747+0100;130093
51.215405;4.3919253;201401200803+0100;2924391
51.212784;4.3927927;201401201306+0100;251372
51.216305;4.3941145;201401201318+0100;13249968
51.17163;4.3470106;201401201720+0100;304896
51.173656;4.3525143;201401201732+0100;139617
51.171627;4.3468986;201401201745+0100;47287030
51.216305;4.394145;201401210721+0100;14771434
51.21354;4.3914013;201401211132+0100;4500098
51.216312;4.394107;201401211251+0100;12984851
51.17158;4.3470616;201401211658+0100;59969
51.171635;4.3470044;201401211719+0100;47588175
51.171646;4.3469906;201401220638+0100;466763
51.216324;4.3940926;201401220714+0100;33756860
51.17162;4.3470135;201401221703+0100;1935117
51.17314;4.3650646;201401221744+0100;547421
51.17165;4.3469825;201401221800+0100;47489894
51.2163;4.394101;201401311956+0100;367460
51.17164;4.34701;201401312031+0100;129017407
51.153637;3.229126;201402020926+0100;436072
50.929203;3.0116925;201402021012+0100;22103748
51.17164;4.347008;201402021756+0100;46801312
51.21338;4.3911595;201402030718+0100;114454
51.21631;4.3941045;201402030724+0100;34530532
51.20995;4.38745;201402031703+0100;1662
51.171635;4.3470235;201402031727+0100;48764208
51.2163;4.3941298;201402040722+0100;9041361
51.216324;4.3941092;201402040958+0100;1642737
51.21282;4.392775;201402041031+0100;287338
51.216312;4.3940945;201402041531+0100;6442844
51.17162;4.3469515;201402041747+0100;45809975
51.216312;4.3941016;201402050854+0100;4557758
51.216305;4.39412;201402051402+0100;9337876
51.17163;4.347007;201402051658+0100;50427486
51.213253;4.391073;201402060712+0100;60933
51.21631;4.3941064;201402060721+0100;31146117
51.21631;4.394119;201402061606+0100;1370590
51.17162;4.347002;201402061659+0100;50315186
51.216328;4.3941474;201402070721+0100;32268898
51.218678;4.4026327;201402071635+0100;80853
51.171646;4.3470225;201402071709+0100;1137749
51.16968;4.363342;201402071734+0100;1137766
51.17067;4.3653665;201402071800+0100;534480
51.171604;4.347122;201402071820+0100;57182180
51.171642;4.346977;201402081032+0100;12371799
51.06182;3.756978;201402081452+0100;25383332
51.171654;4.347042;201402082236+0100;56932084
51.16828;4.3624973;201402091517+0100;413914
51.17154;4.346963;201402091549+0100;3899264
51.173107;4.365141;201402091703+0100;597460
51.171688;4.3470664;201402091722+0100;52572272
51.174263;4.35117;201402100802+0100;503725
51.174156;4.351253;201402100815+0100;312124
51.17804;4.353577;201402100826+0100;116591
51.216278;4.394166;201402100848+0100;28473667
51.205414;4.379498;201402101648+0100;13983
51.17381;4.3546724;201402101707+0100;521403
51.171467;4.3471794;201402101726+0100;47892504
51.20843;4.3852124;201402110702+0100;6692
51.171654;4.346956;201402131700+0100;48407938
51.2163;4.3941045;201402140846+0100;16931075
51.216286;4.394133;201402141334+0100;9289339
51.183132;4.3477564;201402141630+0100;140865
51.17375;4.3544717;201402141637+0100;877962
51.17164;4.3470216;201402141656+0100;15058185
51.17169;4.346999;201402142119+0100;37739633
51.171566;4.347097;201402150807+0100;18608682
51.171654;4.346956;201402151343+0100;9278288
51.170856;4.393272;201402151635+0100;559831
51.171844;4.3942833;201402151648+0100;713678
51.17164;4.3470216;201402151717+0100;56183610
51.222095;2.914178;201402161022+0100;2292641
51.172016;4.3468003;201402161303+0100;735432
51.21703;4.393228;201402170643+0100;2441
51.21626;4.3942046;201402170650+0100;5316168
51.218796;4.40435;201402170831+0100;32491663
51.218338;4.395376;201402171741+0100;77085
51.173904;4.3548656;201402171809+0100;358522
51.171566;4.3471546;201402171819+0100;45381686
51.218468;4.40465;201402180730+0100;32790964
51.171654;4.346956;201402181711+0100;48397714
51.216297;4.3941455;201402190704+0100;181117
51.2186;4.404487;201402190715+0100;31557812
51.218506;4.4046574;201402191608+0100;1068852
51.1716;4.346956;201402191657+0100;1874975
51.17239;4.3467917;201402191753+0100;31579
51.1716;4.346999;201402191800+0100;28441746
51.1716;4.347042;201402200200+0100;17321263
51.21848;4.404585;201402200718+0100;15645942
51.219074;4.402974;201402201147+0100;63899
51.21889;4.403018;201402201153+0100;1003437
51.21849;4.4046845;201402201217+0100;19251183
51.220486;4.39909;201402201746+0100;886412
51.07498;4.487484;201402201843+0100;59939
51.068344;4.5008893;201402201850+0100;4102
51.068604;4.5017343;201402201857+0100;1220032
51.07303;4.492889;201402201921+0100;1527133
51.072006;4.4937825;201402201954+0100;1138410
51.06682;4.500385;201402202016+0100;924049
51.06682;4.500385;201402202038+0100;1146432
51.072002;4.4916406;201402202103+0100;67896
51.068413;4.5021276;201402202109+0100;292
51.068413;4.5021276;201402202117+0100;245439
51.068176;4.502097;201402202127+0100;1767
51.068176;4.502097;201402202135+0100;350801
51.1716;4.346956;201402202209+0100;1236707
51.1716;4.347042;201402202236+0100;14125150
51.171593;4.347099;201402221354+0100;12158602
51.173157;4.3651834;201402221725+0100;334935
51.171654;4.347042;201402221738+0100;65673722
51.30318;4.289894;201402231258+0100;356496
51.304214;4.288884;201402231308+0100;618488
51.224773;4.4137583;201402231409+0100;10018
51.233414;4.402422;201402231428+0100;125819
51.23514;4.384318;201402231447+0100;17030
51.233368;4.38444;201402231453+0100;100183
51.17158;4.346921;201402231530+0100;53631429
51.21634;4.394102;201402240650+0100;8735685
51.218685;4.404057;201402240928+0100;8694585
51.21957;4.402735;201402241156+0100;412479
51.218487;4.4043574;201402241209+0100;14932339
51.17163;4.3468776;201402241653+0100;109922
51.17123;4.364176;201402241715+0100;1150882
51.171597;4.34689;201402241746+0100;46829841
51.218536;4.404223;201402250721+0100;8990815
51.21855;4.404232;201402250958+0100;4221312
51.219593;4.4027543;201402251112+0100;249618
51.218525;4.404253;201402251122+0100;7097748
51.218914;4.4082003;201402251326+0100;3367674
51.21856;4.404218;201402251620+0100;14116635
51.171577;4.34692;201402252046+0100;38591134
51.201607;4.430973;201402260805+0100;10032299
51.21634;4.3940945;201402261110+0100;70732051
51.21462;4.392325;201402270706+0100;330
51.21632;4.3941007;201402270711+0100;16353512
51.20718;4.387098;201402271147+0100;244830
51.207417;4.386253;201402271157+0100;253697
51.207058;4.3880177;201402271206+0100;273513
51.207237;4.387022;201402271216+0100;2842415
51.207294;4.386719;201402271308+0100;974627
51.2072;4.3876057;201402271330+0100;1025498
51.207195;4.3876143;201402271351+0100;1218876
51.20728;4.386561;201402271416+0100;306362
51.198387;4.371931;201402271428+0100;81228
51.156574;4.383656;201402271453+0100;49796
51.157707;4.386433;201402271459+0100;2218769
51.157383;4.3857517;201402271542+0100;657113
51.157753;4.3862276;201402271559+0100;379958
51.157196;4.3865833;201402271611+0100;2104019
51.207195;4.387242;201402271705+0100;10782236
51.20744;4.3864403;201402272010+0100;878903
51.17151;4.3470616;201402272050+0100;37672533
51.207123;4.386919;201402280744+0100;862728
51.20716;4.38727;201402280840+0100;1782613
51.207108;4.387114;201402280915+0100;484100
51.207317;4.386622;201402280928+0100;914554
51.207188;4.3865705;201402281010+0100;905289
51.20712;4.387317;201402281031+0100;1624262
51.207256;4.387129;201402281127+0100;13848126
51.207497;4.385944;201402281522+0100;370981
51.207108;4.386544;201402281534+0100;1141291
51.20729;4.387032;201402281600+0100;2716055
51.207485;4.3860636;201402281650+0100;128092
51.207176;4.386883;201402281656+0100;188807
51.186115;4.356055;201402281715+0100;1655
51.173367;4.3648043;201402281730+0100;2970895
51.171577;4.34691;201402281826+0100;49523660
51.180195;4.3897886;201403010822+0100;121040
51.15478;4.3842015;201403010835+0100;394268
51.171604;4.346962;201403010857+0100;2266888
51.17553;4.26583;201403010950+0100;51143
50.925587;3.014364;201403011102+0100;763346
50.92923;3.0116694;201403011120+0100;3898089
50.928997;3.011263;201403011304+0100;11639659
51.175457;4.349663;201403020959+0100;158214
51.171604;4.3469267;201403021005+0100;3463387
51.245438;4.3189783;201403021124+0100;39269
51.305878;4.2940936;201403021133+0100;53904
51.305935;4.2914963;201403021140+0100;60603
51.3055;4.292836;201403021147+0100;1141372
51.30453;4.289706;201403021246+0100;1173453
51.30509;4.2904696;201403021312+0100;311227
51.171535;4.346767;201403021354+0100;62452505
51.20714;4.386918;201403030737+0100;14082121
51.20855;4.387466;201403031138+0100;446623
51.20728;4.3872294;201403031150+0100;26247122
51.171688;4.346985;201403031929+0100;39357138
51.207214;4.3868246;201403040647+0100;38779962
51.171604;4.3469224;201403041755+0100;47755921
51.206913;4.3871136;201403050734+0100;13916524
51.2084;4.387504;201403051131+0100;467625
51.207172;4.386982;201403051143+0100;12924532
51.20715;4.3870173;201403051525+0100;7599909
51.213314;4.391224;201403051739+0100;14699597
51.171642;4.346876;201403052209+0100;33548095
51.449745;5.495329;201403060851+0100;1958614
51.44703;5.486992;201403060930+0100;23627007
51.44864;5.492916;201403061614+0100;272124
51.169006;4.3631396;201403061739+0100;874602
51.171566;4.3467855;201403061801+0100;44568751
51.21988;4.415193;201403070646+0100;269264
51.208916;4.3966002;201403070657+0100;129951
51.207146;4.3870144;201403070749+0100;30084262
51.20718;4.3868976;201403071616+0100;7639749
51.173843;4.3552036;201403071846+0100;699509
51.171577;4.347035;201403071901+0100;48741278
51.17517;4.3499017;201403080838+0100;484787
51.171627;4.3469415;201403080851+0100;12428172
51.167343;4.34694;201403081224+0100;299
51.168373;4.3446717;201403081230+0100;9643
51.171623;4.3468328;201403081243+0100;87689939
51.168144;4.3495526;201403091322+0100;255294
51.169445;4.3497863;201403091332+0100;29665
51.171597;4.346871;201403091338+0100;63207889
51.206905;4.386988;201403100734+0100;17721213
51.20828;4.3895364;201403101234+0100;271256
51.207867;4.388365;201403101244+0100;607631
51.207134;4.3870726;201403101259+0100;11823755
51.192642;4.3740115;201403101622+0100;29641
51.17218;4.346995;201403101635+0100;492345
51.17166;4.3468814;201403101647+0100;312150
51.17084;4.350381;201403101656+0100;72043
51.171024;4.352296;201403101703+0100;20961
51.170532;4.3478446;201403101709+0100;100707
51.17154;4.346997;201403101715+0100;610766
51.173737;4.3550067;201403101730+0100;439035
51.171562;4.346949;201403101742+0100;50609978
51.206978;4.3873234;201403110808+0100;12475773
51.221134;4.3981504;201403111148+0100;4041585
51.207134;4.3870473;201403111302+0100;17453859
51.171413;4.3465447;201403111814+0100;49752615
51.17536;4.3503976;201403120809+0100;185626
51.19833;4.390166;201403120825+0100;619520
51.207092;4.3871527;201403120840+0100;7855283
51.20845;4.3876276;201403121054+0100;316303
51.207077;4.38719;201403121103+0100;29953838
51.1842;4.351905;201403121940+0100;60435
51.171585;4.3470535;201403121947+0100;122319
51.17285;4.345468;201403121955+0100;44864
51.17162;4.348386;201403122001+0100;53725
51.171635;4.3470097;201403122007+0100;41227815
51.200466;4.391233;201403130749+0100;21832
51.20711;4.387138;201403130758+0100;10045589
51.208416;4.387536;201403131050+0100;257084
51.207153;4.3871493;201403131059+0100;23844914
51.17157;4.347129;201403131757+0100;1678457
51.222366;4.4483967;201403131853+0100;950471
51.222366;4.4483967;201403131915+0100;9028577
51.18904;4.404028;201403132156+0100;66733
51.170574;4.346847;201403132210+0100;128863
51.171627;4.347004;201403132219+0100;32095364
51.207756;4.387808;201403140727+0100;437434
51.207085;4.387164;201403140739+0100;11252434
51.207535;4.387765;201403141052+0100;379726
51.207085;4.3871946;201403141105+0100;22066062
51.210075;4.3901863;201403141718+0100;30538
51.213043;4.392052;201403141727+0100;139855
51.20989;4.387439;201403141734+0100;29955
51.167057;4.385731;201403141806+0100;1015232
51.171574;4.3470726;201403141831+0100;47753248
51.173756;4.355417;201403150751+0100;1036189
51.173016;4.35437;201403150818+0100;1599596
51.17168;4.346884;201403150852+0100;14391961
51.20459;4.3893056;201403151318+0100;101326
51.207222;4.393548;201403151328+0100;832
51.206093;4.392817;201403151335+0100;66118
51.171516;4.3470297;201403151353+0100;376059
51.173317;4.348975;201403151423+0100;3167740
51.171623;4.346981;201403151521+0100;9579308
51.173332;4.364785;201403151809+0100;832425
51.171707;4.3466635;201403160047+0100;45057531
51.269424;4.4073367;201403161338+0100;19836
51.304367;4.2911777;201403161354+0100;2454478
51.305054;4.290448;201403161441+0100;120536
51.171726;4.347089;201403161512+0100;55086319
51.207092;4.387171;201403170651+0100;15266315
51.208374;4.387438;201403171110+0100;545019
51.20716;4.3871026;201403171123+0100;23625801
51.171547;4.34701;201403171818+0100;43427104
51.207058;4.3870635;201403180647+0100;28646918
51.207153;4.387084;201403181455+0100;6898475
51.206627;4.3863535;201403181655+0100;102642
51.207073;4.3870745;201403181702+0100;8910594
51.17159;4.3469696;201403181954+0100;38848548
51.207066;4.387119;201403190707+0100;13055846
51.208435;4.3875213;201403191048+0100;493420
51.20706;4.3870783;201403191100+0100;23651006
51.208908;4.3894105;201403191738+0100;3845530
51.209053;4.389719;201403191849+0100;899483
51.209385;4.389951;201403191910+0100;231545
51.209698;4.3941755;201403191920+0100;54734
51.208195;4.392622;201403191935+0100;9065520
51.171867;4.3469667;201403192224+0100;32144118
51.207096;4.3871703;201403200730+0100;38713428
51.17163;4.3469996;201403201821+0100;46431298
51.20819;4.3884683;201403210728+0100;110476
51.207085;4.3870516;201403210734+0100;34874006
51.209335;4.3883753;201403211720+0100;19708
51.17159;4.3470087;201403211736+0100;49878432
51.173584;4.3553867;201403220743+0100;120704
51.171604;4.3469005;201403220754+0100;11090989
51.17171;4.346965;201403221126+0100;18776877
51.221542;4.4991646;201403221728+0100;257772
51.04393;5.182254;201403221809+0100;61041
51.04932;5.1889424;201403221816+0100;11598664
51.048874;5.1894236;201403222136+0100;1202233
51.171577;4.346951;201403222253+0100;35545403
51.174522;4.3511777;201403230852+0100;2488353
51.171654;4.3468328;201403230940+0100;24635964
51.17336;4.3657255;201403231641+0100;579918
51.17158;4.3469787;201403231827+0100;44958606
51.209656;4.389781;201403240709+0100;20102
51.207104;4.3870244;201403240715+0100;33002776
51.209785;4.3902597;201403241630+0100;40194
51.20684;4.3956285;201403241636+0100;113465
51.17164;4.3471727;201403241658+0100;5237911
51.171124;4.349723;201403241830+0100;50816
51.17103;4.353022;201403241837+0100;259279
51.171574;4.346969;201403241851+0100;44543831
